Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital
573.53,604.94,16.92,58.64,146.39,382.98,42.93,425.91,36.88,389.02,389.02,334.73,334.73,400.68
450.77,450.77,14.83,53.12,126.13,256.69,0.87,257.57,13.27,244.3,244.3,228.47,228.47,400.68
413.51,413.51,19.36,48.48,120.43,225.24,9.48,234.72,9.16,225.56,225.56,211.67,211.67,400.68
415.65,415.65,14.72,47.63,111.4,241.92,0.77,242.68,24.68,218,218,211.3,211.3,400.68
420.54,420.54,15.92,50.13,152.52,201.98,4.67,206.64,-0.3,206.94,206.94,192.18,192.18,400.68
337.84,337.84,14.18,43.31,90.61,189.75,1.86,191.61,8.06,183.55,183.55,163.26,163.26,400.68
327.37,327.37,12.68,38.92,80.97,194.79,9.97,204.76,20.35,184.41,184.41,174.79,174.79,400.68
306.77,306.77,11.3,35.78,75.36,184.33,14.58,198.91,13.35,185.56,185.56,170.76,170.76,400.68
284.51,284.51,10.46,39.14,64.44,126.46,16.9,143.35,-11.35,154.7,154.7,151.19,151.19,400.68
300.89,300.89,8.91,34.75,87.28,154.08,2.39,156.47,49.51,106.95,106.95,100.81,100.81,400.68
296,296,8.73,32.18,64.05,173.42,7.78,181.2,55.18,126.02,126.02,112.28,112.28,400.68
253.73,253.73,8.61,31.16,45.64,145.93,20.04,165.97,39.6,126.36,126.36,96.8,96.8,400.68
328.65,328.65,8.71,29.15,59.46,205.75,20.91,226.66,31.95,194.71,194.71,91.1,91.1,400.68
205.35,205.35,6.22,26.89,56.44,97.62,4.65,102.27,30.67,71.6,71.6,52.44,52.44,400.68
